eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197202220004,1972,2,22,,0,,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1.0,0,,,1,1,1,0,,,0.0,1,0,4,Hijacking,,,,,6,Airports & Aircraft,42.0,Aircraft (not at an airport),Lufthansa,B-747,75.0,Germany,,,,,,,,,,,,,,,,,Palestinians,,,,,,,0.0,,,0,5.0,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosives,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1.0,187.0,0.0,,,Yemen,Yemen,1.0,5000000.0,,,,,2.0,Hostage(s) released by perpetrators,187.0,,,,,Hijacking DB,1,1,1,1,
197501190004,1975,1,2,,0,,92,India,6,South Asia,Bihar,Samastipur,25.863042,85.781004,1.0,0,The attack occurred in the town,"1/2/1975: The Indian Railway Minister, Lalit Narayan Mishra, was assassinated in Samastipur, Bihar, India. A bomb exploded at a rally that he was holding in the region, wounding LN Mishra, a legislator and two guards. All four died of their injuries. While the group Ananda Marga has been suspected of being involved in the attack, there have been no claims of responsibility and no convictions of individuals.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Railway Minister of India and legislator,Lalit Narayan Mishra and a legislator,92.0,India,3.0,Police,25.0,Police Security Forces/Officers,Guards,2 Guards,92.0,India,,,,,,,,,Ananda Marga,,,,,,Unknown,1.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,No additional information available.,4.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"The case is very unclear and there are many rumors about who may have been involved.  Despite some people being brought to trial, no convictions have resulted.","""Leaders of India Irate at Killing: Death of Accused Minister Laid to 'Fascist Forces',"" New York Times, January 5, 1975.","Dhananjay Mahapatra, ""SC: Why has LN Mishra murder trial dragged for 37 years?"", The Times of India, December 16, 2011.",,UMD Encyclopedia of World Terrorism 2012,0,0,0,0,
197605260001,1976,5,26,,0,,92,India,6,South Asia,Delhi,New Delhi,28.585836,77.153336,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,6,Airports & Aircraft,44.0,Airport,,New Delhi airport,92.0,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197709280004,1977,9,28,,0,,92,India,6,South Asia,Maharashtra,Bombay,19.075984,72.877656,1.0,0,,,1,1,1,0,,,0.0,1,0,4,Hijacking,,,,,6,Airports & Aircraft,42.0,Aircraft (not at an airport),Japan Airlines,DC-8,101.0,Japan,,,,,,,,,,,,,,,,,Japanese Red Army (JRA),,,,,,,0.0,,,0,5.0,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,6.0,Explosives,7.0,Grenade,,,,,,,,,Firearm; Grenades,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1.0,146.0,9.0,,,Algeria,Algeria,1.0,6000000.0,,,,,2.0,Hostage(s) released by perpetrators,,,,,,Hijacking DB,1,1,1,1,
197901130004,1979,1,13,,0,,92,India,6,South Asia,Assam,Unknown,26.200605,92.937574,4.0,0,,,1,1,1,-9,,,0.0,1,0,2,Armed Assault,,,,,3,Police,23.0,Police Patrol (including vehicles and convoys),Police,patrol,92.0,India,,,,,,,,,,,,,,,,,Naga People,Rebels,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,,,,,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197901140001,1979,1,14,,0,,92,India,6,South Asia,Manipur,Imphal,24.798346,93.94043,1.0,0,,,1,1,1,0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Revolutionary Govt of Manipur,"Sudhir Kumar Singh, R.K. Sanajoaba Singh, Indrakumar Singh, leaders",92.0,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Pistol,3.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197904260007,1979,4,26,,0,,92,India,6,South Asia,Manipur,Unknown,24.663717,93.906269,4.0,0,,,1,1,1,-9,,,0.0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,,Indian security force in front of jeep,92.0,India,,,,,,,,,,,,,,,,,Meitei extremists,,,,,,,0.0,,,0,3.0,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Unk,4.0,,,0.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197906140040,1979,6,14,,0,,92,India,6,South Asia,Mizoram,Unknown,23.164543,92.937574,4.0,0,,,1,1,1,0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Indian Govt,Government Official,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Firearm,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197907010008,1979,7,1,,0,,92,India,6,South Asia,Assam,Unknown,26.200604,92.937574,4.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,2,Government (General),14.0,Judge/Attorney/Court,,Magistrates house,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Unk,2.0,,,2.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197907020003,1979,7,2,,0,,92,India,6,South Asia,Mizoram,Aizawl,23.727107,92.717639,1.0,0,,,1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",Police,complex,92.0,India,,,,,,,,,,,,,,,,,Mizo National Front,,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,,,,,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
